Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
Яндекс Маркет;59.909549, 30.347372;2024-09-14T10:09;йогурт;Валио;2200 5652 2816 1522;4;228
Wildberries;59.932882, 30.238207;2024-06-24T19:36;рюкзак;helly hansen;4377 7356 5516 8464;7;67991
restore:;59.941932, 30.27508;2024-01-14T15:09;наушники;jbl;2202 2073 8592 4495;2;21722
Гипер Лента;60.061378, 30.392673;2024-07-11T17:32;творог;Hochland;2200 5618 3797 3485;2;394
DNS;59.999035, 30.366192;2024-03-22T09:29;проигрыватель;denon;4306 4320 8332 6816;4;108608
Гипер Лента;60.021476, 30.604864;2024-08-09T11:23;йогурт;Рузское;5112 2372 9842 4574;5;230
Твое;59.924935, 30.320814;2024-10-07T14:54;рубашка;lacoste;5112 2375 2660 5647;7;35861
Спортмастер;59.927602, 30.360711;2024-05-12T14:58;куртка;under armour;2202 2062 7725 4398;6;31938
Wildberries;59.876638, 30.391978;2024-03-23T19:34;рюкзак;helly hansen;2200 5662 5627 8980;6;68616
Спортмастер Pro;59.825163, 30.31919;2024-12-12T16:05;футболка;h&m;2200 7055 4788 9778;6;8580
Гипер Лента;59.989717, 30.439173;2024-05-07T20:45;творог;Простоквашино;2200 5684 4738 4989;1;118
Гипер Лента;59.798683, 30.39892;2024-12-06T15:33;конфеты;Марс;2200 5627 4133 6685;1;211
Ситилинк;60.013589, 30.394258;2024-02-06T14:20;телевизор;sharp;2200 7055 7837 2728;6;256368
Ситилинк;60.047091, 30.37459;2024-05-14T09:48;усилитель;onkyo;4306 4353 3047 2945;7;180089
Яндекс Маркет;59.941515, 30.190159;2024-07-24T21:57;джемпер;lacoste;2200 7027 4708 9542;7;45185
Перекрёсток;59.971116, 30.38625;2024-09-07T16:47;десерты;Ferrero;2202 2031 3132 2618;4;688
Гипер Лента;59.934487, 30.497015;2024-01-08T11:29;кефир;Савушкин продукт;4306 4316 4290 4784;2;54
М.Видео;59.859074, 30.248668;2024-11-29T16:56;планшет;vivo;4306 4369 7372 6228;6;60990
Красное&Белое;59.943082, 30.264807;2024-12-26T09:44;колбаса;Мираторг;2200 5674 4284 4284;1;266
Перекрёсток;59.945836, 30.215417;2024-11-06T19:47;колбаса;Мираторг;5389 9474 4579 9735;3;831
ВкусВилл;59.853333, 30.330313;2024-05-29T12:19;кефир;President;2200 5622 3233 5459;4;136
М.Видео;59.894069, 30.511585;2024-03-19T12:11;монитор;asus;2200 5662 4524 3216;1;10842
Wildberries;59.923514, 30.353113;2024-08-17T16:11;ботинки;columbia;2200 5660 8530 2247;6;51690
Спортмастер;59.86788, 30.35157;2024-03-06T19:11;толстовка;gap;5112 2316 7763 9379;3;11106
М.Видео;59.894069, 30.511585;2024-02-01T09:15;телевизор;sony;4306 4354 4475 2768;4;178408
Эльдорадо;59.939969, 30.419899;2024-09-24T20:00;планшет;xiaomi;5112 2314 7718 5334;3;48246
Гипер Лента;59.798683, 30.39892;2024-04-07T13:55;пюре;ФрутоНяня;5228 6011 2585 2734;2;112
Перекрёсток;60.006246, 30.210435;2024-03-29T19:13;индейка;Perdue;2200 5684 8615 7462;5;2360
Мини Лента;59.916194, 30.309095;2024-04-17T12:03;творог;Домик в деревне;5112 2361 4174 2570;6;294
Пятёрочка;59.926185, 30.367478;2024-02-25T12:44;сметана;Activia;2200 7037 5734 3927;4;572
Эльдорадо;59.825124, 30.380673;2024-03-15T13:31;штатив;fujifilm;2200 5638 2915 7887;7;75943
Ашан;59.819679, 30.316491;2024-09-07T18:44;молоко;Parmalat;5112 2327 8450 7933;1;28
Wildberries;59.90495, 30.671914;2024-08-07T15:34;толстовка;gap;2200 4023 9542 3629;2;5374
Пятёрочка;59.888644, 30.327628;2024-06-10T18:37;овсянка;Quaker;2200 5638 8150 9496;6;666
Globus;59.909273, 30.5138;2024-08-16T14:42;творог обезжиренный;Сваля;2200 5614 7780 5698;3;180
М.Видео;59.990749, 30.206292;2024-05-25T17:01;мышь;hp;4377 7319 6919 6545;5;8160
Твоё;59.911245, 30.446169;2024-12-23T12:34;футболка;patagonia;5389 9463 9883 7073;4;8948
restore:;59.963536, 30.308129;2024-11-19T19:19;зарядное устройство;huawei;2200 5623 9501 8557;1;1606
Перекрёсток;59.938498, 30.230381;2024-12-20T09:16;горчица;Kraft;2200 5618 4076 2325;1;108
DNS;59.883189, 30.370514;2024-06-10T18:59;наушники;denon;5112 2392 3079 8047;4;45436
Globus;59.909273, 30.5138;2024-08-04T13:49;молоко;Валио;4306 4398 4258 4390;5;150
Ситилинк;59.83604, 30.135408;2024-12-21T10:10;усилитель;pioneer;2200 5664 6141 1714;2;33948
Яндекс Маркет;59.927911, 30.321221;2024-03-05T09:07;кепка;nike;2200 5625 7613 6137;3;4530
ВкусВилл;59.960737, 30.290392;2024-11-04T13:15;сок;ФрутоНяня;2200 4046 3501 6327;7;833
Мини Лента;59.863107, 30.190497;2024-08-15T10:11;конфеты;Марс;4377 7362 2441 5078;1;302
Street Beat;59.868088, 30.350939;2024-10-14T18:24;платье;stradivarius;2200 5693 2715 1169;3;10179
Красное&Белое;59.913808, 30.296493;2024-06-17T12:25;десерты;Ferrero;2200 5673 3113 5476;7;1141
DNS;59.950769, 30.47365;2024-06-04T14:33;наушники;sennheiser;2200 5619 9880 7721;6;66396
Rendez-Vous;59.79258, 30.333326;2024-02-17T15:46;куртка;salewa;5112 2374 4022 4540;3;36561
Ситилинк;59.867535, 30.2612;2024-11-07T17:01;наушники;huawei;2200 5616 4589 5715;1;15040
Wildberries;59.949595, 30.226461;2024-02-28T15:21;шорты;fred perry;2202 2070 6920 6952;2;7618
Яндекс Маркет;59.918796, 30.332549;2024-02-26T09:21;снеки;Pringles;2200 5691 2257 3344;5;610
Спортмастер;59.832038, 30.500427;2024-11-18T13:12;джинсы;wrangler;2200 5628 3245 8466;2;10416
Красное&Белое;59.927196, 30.413036;2024-06-27T12:43;соусы;Campbell's;2200 4017 2953 2852;1;152
Твоё;59.832568, 30.347109;2024-10-31T19:24;платье;stradivarius;2200 5643 3686 2800;5;16310
Красное&Белое;59.923593, 30.342453;2024-10-09T11:10;творог;Савушкин продукт;2200 5650 2160 7998;7;238
Красное&Белое;59.928654, 30.349752;2024-04-23T07:59;супы;Campbell's;5112 2377 6125 4652;6;936
Гипер Лента;59.849754, 30.397983;2024-02-04T20:53;творог;Слобода;4306 4384 5303 1445;1;106
DNS;59.943749, 30.360541;2024-05-04T09:27;наушники;samsung;2202 2057 6641 4886;2;21512
Перекрёсток;59.959334, 30.290068;2024-04-12T19:38;масло;Президент;2200 5664 5214 7122;3;639
Wildberries;59.932882, 30.238207;2024-06-26T15:38;рубашка;lacoste;5211 9465 7937 6114;6;25986
Ситилинк;59.83604, 30.135408;2024-04-12T12:24;телевизор;hisense;2200 5621 2926 3340;5;220465
DNS;59.950183, 30.488053;2024-07-05T11:09;саундбар;panasonic;4986 2982 7468 2607;2;24376
Finn Flare;60.01231, 30.399348;2024-10-01T18:12;ботинки;the north face;4306 4334 5408 2933;5;56265
Мини Лента;59.979602, 30.377945;2024-12-14T07:20;молоко 1.5%;ВкусВилл;2200 5697 8592 3322;2;74
Твоё;59.832568, 30.347109;2024-08-18T18:57;футболка;asics;2200 5664 9554 4396;3;6192
Wildberries;59.963016, 30.269694;2024-01-24T20:27;шорты;asics;5112 2322 5141 9059;5;12575
Магнит;59.999893, 30.207787;2024-08-09T10:23;йогурт;Село Зеленое;2200 5654 3918 1631;6;336
Технопарк Нарвский;59.897061, 30.291578;2024-09-29T14:14;клавиатура;steelseries;5112 2387 1477 6202;4;29448
Магнит;59.911453, 30.307757;2024-03-31T16:41;батончики;Здорово;2202 2082 9106 2336;2;322
Ситилинк;59.947342, 30.3582;2024-06-03T18:53;микроволновка;lg;5389 9422 7875 2271;2;11670
Гипер Лента;59.917223, 30.522065;2024-03-11T11:30;приправы;Knorr;4986 2976 3254 8614;4;644
Красное&Белое;59.927016, 30.330534;2024-02-03T10:58;майонез;Heinz;2200 5638 2039 2879;4;616
Спортмастер Pro;59.825163, 30.31919;2024-12-28T09:56;куртка;the north face;2200 5641 8167 4496;3;31128
Магнит;59.939108, 30.284758;2024-08-01T11:59;колбаса;Мираторг;2200 7054 4623 3322;6;1692
Гипер Лента;59.80712, 30.162136;2024-03-22T17:36;шоколад;Lindt;5112 2370 3682 4715;2;420
М.Видео;59.894069, 30.511585;2024-09-14T16:25;планшет;xiaomi;2202 2025 7106 6337;5;50935
Красное&Белое;59.906733, 30.244141;2024-03-26T11:16;масло;Almette;2200 5653 4695 5840;1;228
Эльдорадо;60.004835, 30.300347;2024-03-13T15:19;мышь;dell;4306 4357 6595 6604;3;9537
Яндекс Маркет;59.929458, 30.352266;2024-09-15T13:52;вермишель;Доширак;2200 5674 4273 6415;6;228
Яндекс Маркет;59.928597, 30.326117;2024-06-05T08:27;кроссовки;asics;2200 5645 5356 4648;2;13778
Пятёрочка;59.923644, 30.348069;2024-04-21T17:50;йогурт;Савушкин продукт;2200 5675 1464 5258;7;462
Спортмастер;59.987288, 30.354466;2024-09-02T21:59;куртка;helly hansen;2200 5665 6457 7643;4;96352
М.Видео;59.849475, 30.142691;2024-10-21T18:06;объектив;nikon;4306 4382 8843 3356;5;136055
Яндекс Маркет;59.918613, 30.295814;2024-05-18T13:13;соусы;Русский продукт;5112 2339 2674 5367;3;333
Гипер Лента;59.909833, 30.449471;2024-10-13T21:53;кефир;Волоконовское;5112 2324 2360 9953;2;60
Гипер Лента;59.724489, 30.083939;2024-08-05T17:19;творог;Домик в деревне;5112 2347 1847 9080;3;369
М.Видео;60.058204, 30.335195;2024-11-15T09:27;фотоаппарат;leica;2200 5651 4007 4878;6;1310358
Яндекс Маркет;59.988878, 30.29553;2024-01-25T12:56;рубашка;uniqlo;2202 2096 6088 5248;6;10128
Яндекс Маркет;59.881202, 30.316347;2024-02-21T17:01;брюки;the north face;2200 7023 8596 5472;3;22989
Перекрёсток;59.836444, 30.403867;2024-03-31T20:23;йогурт;ВкусВилл;5211 9491 4241 7838;3;228
Яндекс Маркет;60.070303, 30.336514;2024-05-20T20:25;толстовка;vans;2200 5699 4757 5546;2;6906
М.Видео;59.933146, 30.437312;2024-12-05T14:44;монитор;tcl;2200 5633 8538 7136;1;27445
Красное&Белое;59.941734, 30.363447;2024-09-10T16:55;йогурт;ЭкоНива;2200 5684 3619 8365;1;83
Звезда;59.85022, 30.459639;2024-03-27T10:30;компьютер;acer;4306 4317 4705 6722;7;364742
ВкусВилл;59.928109, 30.353035;2024-01-26T17:25;творог;Ростагроэкспорт;2200 5619 3190 8826;3;147
ВкусВилл;59.889783, 30.318887;2024-09-12T15:31;шоколад;Марс;5228 6029 5998 6578;2;356
Красное&Белое;59.918754, 30.346255;2024-02-11T14:31;приправы;McCormick;5112 2338 3202 3911;5;640
Твоё;59.829004, 30.378286;2024-07-06T21:00;футболка;adidas;5112 2319 9936 1080;5;13800
Красное&Белое;59.934812, 30.271797;2024-01-11T18:18;конфеты;Nestle;2200 5655 5669 6367;2;618
Ашан;59.913898, 30.341063;2024-10-06T20:40;соусы;Русский продукт;2200 5620 5235 4182;4;476
Гипер Лента;59.907322, 30.302922;2024-12-27T16:00;квас;Очаково;5112 2354 4433 6436;5;220
Яндекс Маркет;59.913957, 30.350399;2024-08-24T10:20;кефир;Савушкин продукт;5389 9441 8387 6890;1;26
Ситилинк;59.836205, 30.342154;2024-09-19T20:37;усилитель;sony;5112 2335 3543 5679;1;14809
Магнит;59.911453, 30.307757;2024-05-18T10:26;молоко 3.2%;Активиа;2200 5641 1858 7319;1;76
Промышленный Парк;59.908827, 30.74131;2024-03-09T18:11;проектор;lg;2200 5627 7799 8418;7;353360
DNS;59.883189, 30.370514;2024-10-01T19:55;проигрыватель;technics;2200 4046 4559 4148;7;278523
Магнит;59.935922, 30.372347;2024-03-03T20:19;молоко 1.5%;Простоквашино;2200 7029 1224 9002;6;228
Глобус;60.03683, 30.345774;2024-04-14T09:10;батончики;Kellogg's;2200 5616 6946 1191;1;122
Глобус;59.969676, 30.338688;2024-01-08T11:51;колбаса;Велком;4306 4382 7419 5694;3;1191
Wildberries;59.9251, 30.412669;2024-05-01T11:38;куртка;patagonia;2200 4078 5709 3580;7;70609
Перекрёсток;59.935887, 30.315693;2024-12-16T15:43;супы;Heinz;5112 2380 6178 3756;4;728
Глобус;59.920235, 30.465396;2024-07-19T18:27;кефир;Бежин луг;2200 5611 8533 8668;2;80
Гипер Лента;60.038992, 30.24024;2024-07-22T19:03;квас;Очаково;4306 4318 4692 6434;3;132
Яндекс Маркет;59.915445, 30.313874;2024-08-07T19:00;костюм;burberry;2200 5630 9730 9386;7;47964
ВкусВилл;59.858408, 30.195376;2024-08-12T20:30;суп;Bonduelle;2200 4020 3994 7827;3;531
Яндекс Маркет;59.935379, 30.362436;2024-06-09T15:29;пуховик;canada goose;2200 5679 7796 4343;6;386628
Магнит;59.925076, 30.32224;2024-11-04T11:22;йогурт;Рузское;2200 5684 6365 9320;3;186
DNS;60.036834, 30.345854;2024-06-23T18:02;колонки;marshall;4039 3330 4368 8588;7;217035
ВкусВилл;59.889783, 30.318887;2024-02-13T14:55;соки;Coca-Cola;4306 4349 2578 8666;3;405
DNS;59.99765, 29.765664;2024-07-19T16:56;утюг;panasonic;2202 2087 8617 7614;4;10212
Wildberries;59.948976, 30.366998;2024-10-15T15:59;костюм;dolce & gabbana;2200 5650 5901 6818;6;932010
Стокманн;59.940457, 30.416547;2024-12-06T18:12;кроссовки;mizuno;2200 5619 2248 1816;7;47747
DNS;59.883189, 30.370514;2024-02-01T16:28;процессор;nvidia;5112 2315 6817 4650;2;54996
DNS;59.827715, 30.317253;2024-02-17T19:04;микроволновка;sony;2200 7059 7229 4249;6;45990
Эльдорадо;59.993033, 30.353408;2024-07-08T11:08;плеер;sony;4377 7382 8173 8332;4;27236
Яндекс Маркет;59.916947, 30.32797;2024-08-04T17:16;батончики;General Mills;4986 2916 1119 8964;3;471
Красное&Белое;59.934812, 30.271797;2024-05-07T13:11;горчица;Heinz;2200 4073 3189 5419;6;672
Красное&Белое;59.925173, 30.283897;2024-05-20T16:09;ряженка;Ehrmann;5112 2350 7340 4300;2;72
ВкусВилл;59.938905, 30.376301;2024-07-09T12:56;молоко 1.5%;Чудо;2200 5691 9008 1254;7;476
ВкусВилл;59.938396, 30.36011;2024-04-11T09:46;кефир;Простоквашино;2200 7036 2429 9380;6;204
DNS;59.950183, 30.488053;2024-08-22T08:37;колонки;jbl;4306 4397 7929 7166;5;81120
Перекрёсток;60.032337, 30.248301;2024-01-26T09:11;батончики;Mars;4377 7395 6697 5190;3;486
М.Видео;59.988312, 30.353415;2024-08-23T10:08;наушники беспроводные;huawei;2200 5630 2018 7962;1;9509
ВкусВилл;59.914327, 30.449995;2024-03-11T12:58;молоко;Простоквашино;2200 5648 7224 1233;5;190
Твое;59.850142, 30.268157;2024-10-22T21:32;куртка;fila;5112 2335 9729 1255;7;41244
Спортмастер;59.938398, 30.230096;2024-01-14T12:35;кроссовки;skechers;2200 5636 7201 4553;7;52962
Яндекс Маркет;59.915946, 30.510713;2024-09-17T20:26;джемпер;tommy hilfiger;2200 5671 8103 3828;2;11034
Красное&Белое;59.941734, 30.363447;2024-11-23T14:56;масло;Простоквашино;4306 4320 1141 8816;4;312
О'кей;60.038952, 30.409991;2024-05-29T08:58;батончики;Kellogg's;2200 4055 9569 4669;3;417
DNS;59.949074, 30.234808;2024-03-12T16:56;наушники;jvc;2200 4066 6955 2095;3;26319
Гипер Лента;60.021476, 30.604864;2024-06-13T12:02;снеки;Pringles;2200 4042 6617 1548;6;552
ВкусВилл;59.853333, 30.330313;2024-10-14T14:23;кетчуп;Kraft;2200 5699 9173 8400;6;882
Wildberries;59.92618, 30.354757;2024-12-25T11:13;туфли;gucci;2200 5647 2316 2771;1;40166
Яндекс Маркет;59.937145, 30.277776;2024-05-20T15:55;творог;Агуша;5112 2327 7093 7500;6;672
Перекресток;59.882592, 30.371049;2024-07-12T17:15;йогурт;Село Зеленое;4306 4317 6895 4187;5;295
Wildberries;59.855211, 30.324002;2024-07-26T18:35;шорты;adidas;2200 5686 9151 1144;2;4362
Rendez-Vous;59.987485, 30.353097;2024-12-05T14:25;футболка;the north face;2200 5695 5353 6305;2;3370
Яндекс Маркет;59.924034, 30.295598;2024-02-17T10:44;творог;Агуша;2200 5641 7697 8345;3;339
Эльдорадо;59.910958, 30.444849;2024-08-29T11:24;саундбар;jbl;2200 7012 6836 4668;4;134856
Перекрёсток;59.74242, 30.09333;2024-06-24T15:16;хлопья;General Mills;2200 5692 4966 7565;7;875
Ситилинк;59.966564, 30.310314;2024-01-23T20:53;саундбар;lg;2200 7025 7382 8382;1;12891
Wildberries;59.919929, 30.369959;2024-05-29T17:54;брюки;columbia;4306 4380 7356 4908;5;26840
DNS;59.876775, 30.446537;2024-06-25T18:01;планшет;oneplus;2200 5694 4411 3406;6;83022
Эльдорадо;60.011345, 30.398596;2024-05-24T19:49;микроволновка;toshiba;2200 5616 8228 9421;2;10716
М.Видео;60.049199, 30.444606;2024-10-08T14:16;усилитель;onkyo;4039 3393 6567 5590;5;137960
ВкусВилл;59.987659, 30.207693;2024-06-15T13:12;молоко 3.2%;Ehrmann;2200 5697 1455 8902;5;405
Пятёрочка;59.91543, 30.308411;2024-08-11T09:48;кефир;Ehrmann;4306 4376 8067 4125;2;242
DNS;59.702543, 30.38151;2024-07-27T12:09;микроволновка;lg;2200 5639 1472 7547;1;10584
